"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Mexico",2004,56.534,819459227375.02,0.50344104,4.688408848,738406900,,3,471679,451.3029775,61042,58.40505163,15295,14.63427255,74.372
"Mexico",2005,57.218,917571853529.1,0.50941753,3.988057146,764501700,23.144466,7,493957,465.9742975,62981,59.41312145,15977,15.07190171,74.3765
"Mexico",2006,57.988,1020265057882.01,0.49712664,3.629467624,781458400,,7,493296,458.6233714,63777,59.294263,16162,15.02601061,74.3313
"Mexico",2007,57.923,1102355554971.95,,3.966849055,774358100,,7,502075,459.899873,63767,58.41046696,15089,13.82149915,74.2384
"Mexico",2008,57.614,1161553459715.1,0.50845385,5.124982746,769420900,,3,536335,483.9901533,66660,60.15416413,15866,14.31752127,74.1524
"Mexico",2009,56.683,943437415024.63,,5.297355842,750852350,,8,550946,489.8870337,67095,59.65915085,19137,17.01612892,74.119
"Mexico",2010,56.497,1105424238731.09,0.47658798,4.156727227,751734400,21.619123,9,578572,507.1057713,68962,60.44369275,17650,15.46984103,74.1901
"Mexico",2011,56.688,1229013703416.76,,3.407378246,772154700,24.717434,12,576662,498.430911,70042,60.53996599,16973,14.67040979,74.3651
"Mexico",2012,57.478,1255110424817.79,0.49597645,4.111509811,784205700,22.813524,3,587826,501.2408744,71841,61.25902165,17538,14.95470166,74.574
"Mexico",2013,57.346,1327436290282.67,,3.806390697,780049400,23.607773,5,596129,501.6773901,71916,60.52151663,18701,15.73798435,74.7391
"Mexico",2014,56.928,1364507717614.13,0.48913074,4.018616081,834547460,22.039173,8,618097,513.5610009,75652,62.8573134,21845,18.15045222,74.7974
"Mexico",2015,57.269,1213294467716.88,,2.72064065,861164740,22.114128,4,640890,525.9307088,78009,64.01617853,20414,16.75224998,74.6822
"Mexico",2016,57.442,1112233497452.7,0.46912822,2.821707847,898376300,21.270243,7,671536,544.4884603,80954,65.63835567,23159,18.77756107,74.4122
"Mexico",2017,57.387,1190721475906,,6.04145724,854950600,20.416073,7,688468,551.7573049,82492,66.11137133,23404,18.75661318,74.1378
"Mexico",2018,57.677,1256300182879.73,0.45955244,4.899350154,871456830,20.393358,4,705149,558.79594,84066,66.61817501,29267,23.19265967,74.0146
"Mexico",2019,58.08,1305211135822.61,,3.635961421,878178370,20.124012,6,729057,571.4708814,86791,68.03107201,31862,24.97500912,74.2021
